Concatenation,Estimated resolicitation Date,ContractNumber,NDCWithDashes,Drug,Generic,TradeName,PackageDescription,Non-TAA,VendorName,5 Year option end, Price ,Offers,Estimated Annual Quantities,Estimated Annual Spend,ContractStartDate,ContractStopDate,5 Year option end,Contract Start Year,SubItemIdentifier,VAClass,Covered,PrimeVendor,PriceStartDate,PriceStopDate,PriceType
36E79719D0023PROPRANOLOL HCL 60MG TAB100,13-Feb-24,36E79719D0023,51407-0239-01,PROPRANOLOL HCL ,PROPRANOLOL HCL 60MG TAB,PROPRANOLOL HCL 60MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",11-Aug-24, $20.00 , 1.00 ," 8,811.00 "," $176,220.00 ",08/11/2019,08/10/2024,2024,2019,,CV100,F,T,08/11/2019,08/10/2024,NC
36E79719D0023PROPRANOLOL HCL 80MG TAB100,13-Feb-24,36E79719D0023,51407-0238-01,PROPRANOLOL HCL ,PROPRANOLOL HCL 80MG TAB,PROPRANOLOL HCL 80MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",11-Aug-24, $14.50 , 1.00 ," 3,436.00 "," $49,822.00 ",08/11/2019,08/10/2024,2024,2019,,CV100,F,T,08/11/2019,08/10/2024,NC
36E79719D0023PROPRANOLOL HCL 80MG TAB500,13-Feb-24,36E79719D0023,51407-0238-05,PROPRANOLOL HCL ,PROPRANOLOL HCL 80MG TAB,PROPRANOLOL HCL 80MG TAB,500,Compliant,"Golden State Medical Supply, Inc.",11-Aug-24, $71.00 , 1.00 ," 4,300.00 "," $305,300.00 ",08/11/2019,08/10/2024,2024,2019,,CV100,F,T,08/11/2019,08/10/2024,NC
36E79719D0025DIGOXIN 0.125MG TAB100,21-Mar-24,36E79719D0025,60429-0099-01,DIGOXIN,DIGOXIN 0.125MG TAB,DIGOXIN 0.125MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",17-Sep-24, $14.60 , 3.00 ," 20,426.00 "," $298,219.60 ",09/17/2019,09/16/2024,2024,2019,,CV050,F,T,09/17/2019,09/16/2024,NC
36E79719D0025DIGOXIN 0.125MG TAB1000,21-Mar-24,36E79719D0025,60429-0099-10,DIGOXIN,DIGOXIN 0.125MG TAB,DIGOXIN 0.125MG TAB,1000,Compliant,"Golden State Medical Supply, Inc.",17-Sep-24, $142.00 , 3.00 ," 13,806.00 "," $1,960,452.00 ",09/17/2019,09/16/2024,2024,2019,,CV050,F,T,09/17/2019,09/16/2024,NC
36E79719D0025DIGOXIN 0.25MG TAB100,21-Mar-24,36E79719D0025,60429-0100-01,DIGOXIN,DIGOXIN 0.25MG TAB,DIGOXIN 0.25MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",17-Sep-24, $14.60 , 3.00 ," 8,385.00 "," $122,421.00 ",09/17/2019,09/16/2024,2024,2019,,CV050,F,T,09/17/2019,09/16/2024,NC
36E79719D0025DIGOXIN 0.25MG TAB1000,21-Mar-24,36E79719D0025,60429-0100-10,DIGOXIN,DIGOXIN 0.25MG TAB,DIGOXIN 0.25MG TAB,1000,Compliant,"Golden State Medical Supply, Inc.",17-Sep-24, $142.00 , 3.00 ," 5,985.00 "," $849,870.00 ",09/17/2019,09/16/2024,2024,2019,,CV050,F,T,09/17/2019,09/16/2024,NC
36E79719D0028DIGOXIN 125MCG CAP60,4-Apr-24,36E79719D0028,42291-0411-60,DIGOXIN,DIGOXIN 125MCG CAP,DOFETILIDE 125MCG CAP,60,Compliant,"AvKARE, LLC",1-Oct-24, $13.79 , 5.00 ," 20,054.00 "," $276,544.66 ",10/01/2019,09/30/2024,2024,2019,,CV300,F,T,10/01/2019,09/30/2024,NC
36E79719D0028DOFETILIDE 250MCG CAP60,4-Apr-24,36E79719D0028,42291-0412-60,DOFETILIDE,DOFETILIDE 250MCG CAP,DOFETILIDE 250MCG CAP,60,Compliant,"AvKARE, LLC",1-Oct-24, $14.89 , 5.00 ," 44,106.00 "," $656,738.34 ",10/01/2019,09/30/2024,2024,2019,,CV300,F,T,10/01/2019,09/30/2024,NC
36E79719D0028DOFETILIDE 500MCG CAP60,4-Apr-24,36E79719D0028,42291-0413-60,DOFETILIDE,DOFETILIDE 500MCG CAP,DOFETILIDE 500MCG CAP,60,Compliant,"AvKARE, LLC",1-Oct-24, $14.13 , 5.00 ," 42,015.00 "," $593,671.95 ",10/01/2019,09/30/2024,2024,2019,,CV300,F,T,10/01/2019,09/30/2024,NC
36E79719D0029PROBENECID 500MG TAB100,18-Apr-24,36E79719D0029,10135-0541-01,PROBENECID,PROBENECID 500MG TAB,PROBENECID 500MG TAB,100,Compliant,"Marlex Pharmaceuticals, Inc.",15-Oct-24, $58.10 , 1.00 ," 18,719.00 "," $1,087,573.90 ",10/15/2019,10/14/2024,2024,2019,,MS400,F,T,10/15/2019,10/14/2024,NC
36E79719D0030OXCARBAZEPINE 150MG TAB100,10-Apr-24,36E79719D0030,60429-0061-01,OXCARBAZEPINE,OXCARBAZEPINE 150MG TAB,OXCARBAZEPINE 150MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",7-Oct-24, $11.46 , 1.00 ," 17,665.00 "," $202,440.90 ",10/07/2019,10/06/2024,2024,2019,,CN400,F,T,10/07/2019,10/06/2024,NC
36E79719D0030OXCARBAZEPINE 150MG TAB500,10-Apr-24,36E79719D0030,60429-0061-05,OXCARBAZEPINE,OXCARBAZEPINE 150MG TAB,OXCARBAZEPINE 150MG TAB,500,Compliant,"Golden State Medical Supply, Inc.",7-Oct-24, $56.71 , 1.00 ," 3,042.00 "," $172,511.82 ",10/07/2019,10/06/2024,2024,2019,,CN400,F,T,10/07/2019,10/06/2024,NC
36E79719D0030OXCARBAZEPINE 300MG TAB100,10-Apr-24,36E79719D0030,60429-0062-01,OXCARBAZEPINE,OXCARBAZEPINE 300MG TAB,OXCARBAZEPINE 300MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",7-Oct-24, $19.50 , 1.00 ," 39,163.00 "," $763,678.50 ",10/07/2019,10/06/2024,2024,2019,,CN400,F,T,10/07/2019,10/06/2024,NC
36E79719D0030OXCARBAZEPINE 300MG TAB500,10-Apr-24,36E79719D0030,60429-0062-05,OXCARBAZEPINE,OXCARBAZEPINE 300MG TAB,OXCARBAZEPINE 300MG TAB,500,Compliant,"Golden State Medical Supply, Inc.",7-Oct-24, $96.54 , 1.00 ," 6,362.00 "," $614,187.48 ",10/07/2019,10/06/2024,2024,2019,,CN400,F,T,10/07/2019,10/06/2024,NC
36E79719D0030OXCARBAZEPINE 600MG TAB100,10-Apr-24,36E79719D0030,60429-0063-01,OXCARBAZEPINE,OXCARBAZEPINE 600MG TAB,OXCARBAZEPINE 600MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",7-Oct-24, $34.19 , 1.00 ," 16,451.00 "," $562,459.69 ",10/07/2019,10/06/2024,2024,2019,,CN400,F,T,10/07/2019,10/06/2024,NC
36E79719D0030OXCARBAZEPINE 600MG TAB500,10-Apr-24,36E79719D0030,60429-0063-05,OXCARBAZEPINE,OXCARBAZEPINE 600MG TAB,OXCARBAZEPINE 600MG TAB,500,Compliant,"Golden State Medical Supply, Inc.",7-Oct-24, $169.24 , 1.00 ," 3,028.00 "," $512,458.72 ",10/07/2019,10/06/2024,2024,2019,,CN400,F,T,10/07/2019,10/06/2024,NC
36E79719D0034BUPROPION HCL 100MG TAB100,18-May-24,36E79719D0034,60429-0747-01,BUPROPION HCL,BUPROPION HCL 100MG TAB,BUPROPION HCL 100MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",14-Nov-24, $5.05 , 2.00 ," 60,484.00 "," $305,444.20 ",11/14/2019,11/13/2024,2024,2019,,CN609,F,T,11/14/2019,11/13/2024,NC
36E79719D0034BUPROPION HCL 75MG TAB100,18-May-24,36E79719D0034,60429-0746-01,BUPROPION HCL,BUPROPION HCL 75MG TAB,BUPROPION HCL 75MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",14-Nov-24, $4.10 , 2.00 ," 134,529.00 "," $551,568.90 ",11/14/2019,11/13/2024,2024,2019,,CN609,F,T,11/14/2019,11/13/2024,NC
"36E79719D0035BETAMETHASONE DIPROPIONATE 0.05% CREAM,TOP15GM",2-Jul-24,36E79719D0035,51407-0273-15,BETAMETHASONE DIPROPIONATE,"BETAMETHASONE DIPROPIONATE 0.05% CREAM,TOP","BETAMETHASONE DIPROPIONATE 0.05% CREAM,TOP",15GM,Compliant,"Golden State Medical Supply, Inc.",29-Dec-24, $8.72 , 1.00 ," 24,093.00 "," $210,090.96 ",12/29/2019,12/28/2024,2024,2019,,DE200,F,T,12/29/2019,12/28/2024,NC
"36E79719D0035BETAMETHASONE DIPROPIONATE 0.05% CREAM,TOP45GM",2-Jul-24,36E79719D0035,51407-0273-45,BETAMETHASONE DIPROPIONATE,"BETAMETHASONE DIPROPIONATE 0.05% CREAM,TOP","BETAMETHASONE DIPROPIONATE 0.05% CREAM,TOP",45GM,Compliant,"Golden State Medical Supply, Inc.",29-Dec-24, $16.04 , 1.00 ," 46,840.00 "," $751,313.60 ",12/29/2019,12/28/2024,2024,2019,,DE200,F,T,12/29/2019,12/28/2024,NC
36E79720D0002ABIRATERONE ACETATE 250MG TAB120,10-Jun-24,36E79720D0002,42291-0024-12,ABIRATERONE ACETATE,ABIRATERONE ACETATE 250MG TAB,ABIRATERONE ACETATE 250MG TAB,120,Compliant,"AvKARE, LLC",7-Dec-24, $315.92 , 3.00 ," 39,861.00 "," $12,592,887.12 ",12/07/2019,12/06/2024,2024,2019,,AN500,F,T,12/07/2023,12/06/2024,NC
"36E79720D0004ZOLMITRIPTAN 2.5MG TAB,PACKAGE,66",3-Jul-24,36E79720D0004,71626-0101-06,ZOLMITRIPTAN,"ZOLMITRIPTAN 2.5MG TAB,PACKAGE,6","ZOLMITRIPTAN 2.5MG TAB,PACKAGE,6",6,Compliant,"MedStone Pharma, LLC.",30-Dec-24, $8.75 , 2.00 ," 34,715.00 "," $303,756.25 ",12/30/2019,12/29/2024,2024,2019,,CN105,F,T,12/30/2019,12/29/2024,NC
"36E79720D0004ZOLMITRIPTAN 5MG TAB,PACKAGE,33",3-Jul-24,36E79720D0004,71626-0102-03,ZOLMITRIPTAN,"ZOLMITRIPTAN 5MG TAB,PACKAGE,3","ZOLMITRIPTAN 5MG TAB,PACKAGE,3",3,Compliant,"MedStone Pharma, LLC.",30-Dec-24, $5.50 , 2.00 ," 124,824.00 "," $686,532.00 ",12/30/2019,12/29/2024,2024,2019,,CN105,F,T,12/30/2019,12/29/2024,NC
"36E79720D0003KETOCONAZOLE 2% CREAM,TOP15GM",13-Aug-24,36E79720D0003,51407-0279-15,KETOCONAZOLE ,"KETOCONAZOLE 2% CREAM,TOP","KETOCONAZOLE 2% CREAM,TOP",15GM,Compliant,"Golden State Medical Supply, Inc.",9-Feb-25, $2.73 , 1.00 ," 69,580.00 "," $189,953.40 ",02/09/2020,02/08/2025,2025,2020,,DE102,F,T,02/09/2024,02/08/2025,NC
"36E79720D0003KETOCONAZOLE 2% CREAM,TOP30GM",13-Aug-24,36E79720D0003,51407-0279-30,KETOCONAZOLE ,"KETOCONAZOLE 2% CREAM,TOP","KETOCONAZOLE 2% CREAM,TOP",30GM,Compliant,"Golden State Medical Supply, Inc.",9-Feb-25, $4.90 , 1.00 ," 210,441.00 "," $1,031,160.90 ",02/09/2020,02/08/2025,2025,2020,,DE102,F,T,02/09/2024,02/08/2025,NC
"36E79720D0003KETOCONAZOLE 2% CREAM,TOP60GM",13-Aug-24,36E79720D0003,51407-0279-60,KETOCONAZOLE ,"KETOCONAZOLE 2% CREAM,TOP","KETOCONAZOLE 2% CREAM,TOP",60GM,Compliant,"Golden State Medical Supply, Inc.",9-Feb-25, $8.24 , 1.00 ," 113,302.00 "," $933,608.48 ",02/09/2020,02/08/2025,2025,2020,,DE102,F,T,02/09/2024,02/08/2025,NC
"36E79720D0006ERENUMAB-AOOE 140MG/ML AUTOINJECTOR,1ML1ML",30-Aug-24,36E79720D0006,55513-0843-01,ERENUMAB-AOOE,"ERENUMAB-AOOE 140MG/ML AUTOINJECTOR,1ML",AIMOVIG AUTOINJECTOR,1ML,Compliant,Amgen USA Inc.,26-Feb-25, $136.90 , 2.00 ," 43,074.00 "," $5,896,830.60 ",02/26/2020,02/25/2025,2025,2020,,CN105,T,T,02/26/2020,02/25/2025,NC
"36E79720D0006ERENUMAB-AOOE 70MG/ML AUTOINJECTOR,1ML1ML",30-Aug-24,36E79720D0006,55513-0841-01,ERENUMAB-AOOE,"ERENUMAB-AOOE 70MG/ML AUTOINJECTOR,1ML",AIMOVIG AUTOINJECTOR,1ML,Compliant,Amgen USA Inc.,26-Feb-25, $136.90 , 2.00 ," 43,074.00 "," $5,896,830.60 ",02/26/2020,02/25/2025,2025,2020,,CN105,T,T,02/26/2020,02/25/2025,NC
36E79720D0007PRASUGREL HCL 10MG TAB30,25-Aug-24,36E79720D0007,51407-0445-30,PRASUGREL HCL,PRASUGREL HCL 10MG TAB,PRASUGREL HCL 10MG TAB,30,Non-Compliant,"Golden State Medical Supply, Inc.",21-Feb-25, $7.49 , 3.00 ," 116,495.00 "," $872,547.55 ",02/21/2020,02/20/2025,2025,2020,,BL117,F,T,02/21/2021,02/20/2025,NC
36E79720D0007PRASUGREL HCL 5MG TAB30,25-Aug-24,36E79720D0007,51407-0444-30,PRASUGREL HCL,PRASUGREL HCL 5MG TAB,PRASUGREL HCL 5MG TAB,30,Non-Compliant,"Golden State Medical Supply, Inc.",21-Feb-25, $6.49 , 3.00 ," 4,926.00 "," $31,969.74 ",02/21/2020,02/20/2025,2025,2020,,BL117,F,T,02/21/2021,02/20/2025,NC
36E79720D0008LAMOTRIGINE IR 100MG TAB100,17-Sep-24,36E79720D0008,42291-0367-01,LAMOTRIGINE IR,LAMOTRIGINE IR 100MG TAB,LAMOTRIGINE IR 100MG TAB,100,Compliant,"AvKARE, LLC",16-Mar-25, $5.15 , 2.00 ," 14,351.00 "," $73,907.65 ",03/16/2020,03/15/2025,2025,2020,,CN400,F,T,03/16/2021,03/15/2025,NC
36E79720D0008LAMOTRIGINE IR 100MG TAB1000,17-Sep-24,36E79720D0008,42291-0367-10,LAMOTRIGINE IR,LAMOTRIGINE IR 100MG TAB,LAMOTRIGINE IR 100MG TAB,1000,Compliant,"AvKARE, LLC",16-Mar-25, $55.98 , 2.00 ," 10,909.00 "," $610,685.82 ",03/16/2020,03/15/2025,2025,2020,,CN400,F,T,03/16/2024,03/15/2025,NC
36E79720D0008LAMOTRIGINE IR 150MG TAB60,17-Sep-24,36E79720D0008,42291-0368-60,LAMOTRIGINE IR,LAMOTRIGINE IR 150MG TAB,LAMOTRIGINE IR 150MG TAB,60,Compliant,"AvKARE, LLC",16-Mar-25, $4.18 , 2.00 ," 35,708.00 "," $149,259.44 ",03/16/2020,03/15/2025,2025,2020,,CN400,F,T,03/16/2021,03/15/2025,NC
36E79720D0008LAMOTRIGINE IR 150MG TAB500,17-Sep-24,36E79720D0008,42291-0368-50,LAMOTRIGINE IR,LAMOTRIGINE IR 150MG TAB,LAMOTRIGINE IR 150MG TAB,500,Compliant,"AvKARE, LLC",16-Mar-25, $39.15 , 2.00 ," 9,690.00 "," $379,363.50 ",03/16/2020,03/15/2025,2025,2020,,CN400,F,T,03/16/2024,03/15/2025,NC
36E79720D0008LAMOTRIGINE IR 200MG TAB60,17-Sep-24,36E79720D0008,42291-0369-60,LAMOTRIGINE IR,LAMOTRIGINE IR 200MG TAB,LAMOTRIGINE IR 200MG TAB,60,Compliant,"AvKARE, LLC",16-Mar-25, $5.20 , 2.00 ," 34,641.00 "," $180,133.20 ",03/16/2020,03/15/2025,2025,2020,,CN400,F,T,03/16/2024,03/15/2025,NC
36E79720D0008LAMOTRIGINE IR 200MG TAB500,17-Sep-24,36E79720D0008,42291-0369-50,LAMOTRIGINE IR,LAMOTRIGINE IR 200MG TAB,LAMOTRIGINE IR 200MG TAB,500,Compliant,"AvKARE, LLC",16-Mar-25, $48.15 , 2.00 ," 19,041.00 "," $916,824.15 ",03/16/2020,03/15/2025,2025,2020,,CN400,F,T,03/16/2024,03/15/2025,NC
36E79720D0008LAMOTRIGINE IR 25MG TAB100,17-Sep-24,36E79720D0008,42291-0366-01,LAMOTRIGINE IR,LAMOTRIGINE IR 25MG TAB,LAMOTRIGINE IR 25MG TAB,100,Compliant,"AvKARE, LLC",16-Mar-25, $2.11 , 2.00 ," 12,825.00 "," $27,060.75 ",03/16/2020,03/15/2025,2025,2020,,CN400,F,T,03/16/2020,03/15/2025,NC
36E79720D0008LAMOTRIGINE IR 25MG TAB1000,17-Sep-24,36E79720D0008,42291-0366-10,LAMOTRIGINE IR,LAMOTRIGINE IR 25MG TAB,LAMOTRIGINE IR 25MG TAB,1000,Compliant,"AvKARE, LLC",16-Mar-25, $18.82 , 2.00 ," 9,987.00 "," $187,955.34 ",03/16/2020,03/15/2025,2025,2020,,CN400,F,T,03/16/2020,03/15/2025,NC
"36E79720D0009DALFAMPRIDINE 10MG TAB, SA60",2-Aug-24,36E79720D0009,51407-0246-60,DALFAMPRIDINE,"DALFAMPRIDINE 10MG TAB, SA","DALFAMPRIDINE 10MG TAB, SA",60,Non-Compliant,"Golden State Medical Supply, Inc.",29-Jan-25, $49.95 , 4.00 ," 10,946.00 "," $546,752.70 ",01/29/2020,01/28/2025,2025,2020,,MS900,F,T,01/29/2020,01/28/2025,NC
"36E79720D0009DALFAMPRIDINE 10MG TAB, SA60",2-Aug-24,36E79720D0009,51407-0876-60,DALFAMPRIDINE,"DALFAMPRIDINE 10MG TAB, SA","DALFAMPRIDINE 10MG TAB, SA",60,Non-Compliant,"Golden State Medical Supply, Inc.",29-Jan-25, $49.95 , 4.00 ," 10,946.00 "," $546,752.70 ",01/29/2020,01/28/2025,2025,2020,,MS900,F,T,03/08/2024,01/28/2025,NC
36E79720D0010TADALAFIL 10MG TAB30,17-Sep-24,36E79720D0010,42291-0866-30,TADALAFIL,TADALAFIL 10MG TAB,TADALAFIL 10MG TAB,30,Compliant,"AvKARE, LLC",16-Mar-25, $17.96 , 5.00 ," 8,378.00 "," $150,468.88 ",03/16/2020,03/15/2025,2025,2020,,GU900,F,T,03/16/2023,03/15/2025,NC
36E79720D0010TADALAFIL 2.5MG TAB30,17-Sep-24,36E79720D0010,42291-0864-30,TADALAFIL,TADALAFIL 2.5MG TAB,TADALAFIL 2.5MG TAB,30,Compliant,"AvKARE, LLC",16-Mar-25, $10.88 , 5.00 ," 4,381.00 "," $47,665.28 ",03/16/2020,03/15/2025,2025,2020,,GU900,F,T,03/16/2021,03/15/2025,NC
36E79720D0010TADALAFIL 20MG TAB30,17-Sep-24,36E79720D0010,42291-0867-30,TADALAFIL,TADALAFIL 20MG TAB,TADALAFIL 20MG TAB,30,Compliant,"AvKARE, LLC",16-Mar-25, $21.20 , 5.00 ," 42,862.00 "," $908,674.40 ",03/16/2020,03/15/2025,2025,2020,,GU900,F,T,03/16/2023,03/15/2025,NC
36E79720D0010TADALAFIL 5MG TAB30,17-Sep-24,36E79720D0010,42291-0865-30,TADALAFIL,TADALAFIL 5MG TAB,TADALAFIL 5MG TAB,30,Compliant,"AvKARE, LLC",16-Mar-25, $8.86 , 5.00 ," 264,100.00 "," $2,339,926.00 ",03/16/2020,03/15/2025,2025,2020,,GU900,F,T,03/16/2021,03/15/2025,NC
"36E79720D0014OMEPRAZOLE 20MG CAP,EC100",3-Oct-24,36E79720D0014,51407-0641-01,OMEPRAZOLE,"OMEPRAZOLE 20MG CAP,EC","OMEPRAZOLE 20MG CAP,EC",100,Compliant,"Golden State Medical Supply, Inc.",1-Apr-25, $2.36 , 4.00 ," 21,517.00 "," $50,780.12 ",04/01/2020,03/31/2025,2025,2020,,GA900,F,T,01/05/2023,03/31/2025,NC
"36E79720D0014OMEPRAZOLE 20MG CAP,EC1000",3-Oct-24,36E79720D0014,51407-0641-10,OMEPRAZOLE,"OMEPRAZOLE 20MG CAP,EC","OMEPRAZOLE 20MG CAP,EC",1000,Compliant,"Golden State Medical Supply, Inc.",1-Apr-25, $20.00 , 4.00 ," 29,366.00 "," $587,320.00 ",04/01/2020,03/31/2025,2025,2020,,GA900,F,T,01/05/2023,03/31/2025,NC
"36E79720D0014OMEPRAZOLE 40MG CAP,EC100",3-Oct-24,36E79720D0014,51407-0664-01,OMEPRAZOLE,"OMEPRAZOLE 40MG CAP,EC","OMEPRAZOLE 40MG CAP,EC",100,Compliant,"Golden State Medical Supply, Inc.",1-Apr-25, $4.02 , 4.00 ," 2,028.00 "," $8,152.56 ",04/01/2020,03/31/2025,2025,2020,,GA900,F,T,02/01/2023,03/31/2025,NC
"36E79720D0014OMEPRAZOLE 40MG CAP,EC500",3-Oct-24,36E79720D0014,51407-0664-05,OMEPRAZOLE,"OMEPRAZOLE 40MG CAP,EC","OMEPRAZOLE 40MG CAP,EC",500,Compliant,"Golden State Medical Supply, Inc.",1-Apr-25, $18.31 , 4.00 ," 4,630.00 "," $84,775.30 ",04/01/2020,03/31/2025,2025,2020,,GA900,F,T,02/01/2023,03/31/2025,NC
36E79720D0015WARFARIN NA 10MG TAB100,17-Nov-24,36E79720D0015,51407-0792-01,WARFARIN NA,WARFARIN NA 10MG TAB,WARFARIN NA 10MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",16-May-25, $4.32 , 3.00 ," 10,671.00 "," $46,098.72 ",05/16/2020,05/15/2025,2025,2020,,BL110,F,T,05/16/2021,05/15/2025,NC
36E79720D0015WARFARIN NA 1MG TAB100,17-Nov-24,36E79720D0015,51407-0784-01,WARFARIN NA,WARFARIN NA 1MG TAB,WARFARIN NA 1MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",16-May-25, $3.59 , 3.00 ," 6,954.00 "," $24,964.86 ",05/16/2020,05/15/2025,2025,2020,,BL110,F,T,05/16/2021,05/15/2025,NC
36E79720D0015WARFARIN NA 1MG TAB1000,17-Nov-24,36E79720D0015,51407-0784-10,WARFARIN NA,WARFARIN NA 1MG TAB,WARFARIN NA 1MG TAB,1000,Compliant,"Golden State Medical Supply, Inc.",16-May-25, $29.48 , 3.00 ," 3,498.00 "," $103,121.04 ",05/16/2020,05/15/2025,2025,2020,,BL110,F,T,05/16/2021,05/15/2025,NC
36E79720D0015WARFARIN NA 2.5MG TAB100,17-Nov-24,36E79720D0015,51407-0786-01,WARFARIN NA,WARFARIN NA 2.5MG TAB,WARFARIN NA 2.5MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",16-May-25, $3.80 , 3.00 ," 6,957.00 "," $26,436.60 ",05/16/2020,05/15/2025,2025,2020,,BL110,F,T,05/16/2021,05/15/2025,NC
36E79720D0015WARFARIN NA 2.5MG TAB1000,17-Nov-24,36E79720D0015,51407-0786-10,WARFARIN NA,WARFARIN NA 2.5MG TAB,WARFARIN NA 2.5MG TAB,1000,Compliant,"Golden State Medical Supply, Inc.",16-May-25, $31.58 , 3.00 ," 5,914.00 "," $186,764.12 ",05/16/2020,05/15/2025,2025,2020,,BL110,F,T,05/16/2021,05/15/2025,NC
